category_name,median,q25,q75,min,max,iqr
Boiliji,34.8,34.8,34.8,34.8,34.8,0.0
adventni koledarji,29.045,25.900000000000002,31.99,25.3,31.99,6.089999999999996
agility ovire,19.85,13.317499999999999,52.0,7.8,330.42,38.682500000000005
akcijske figure,19.7,13.245000000000001,34.99,3.39,229.0,21.745
aktivne hlace,38.15,38.15,38.675,38.15,39.2,0.5249999999999986
aktivne visece igrace,20.0,20.0,20.0,20.0,20.0,0.0
aktivne zapestnice,59.99,18.49,99.475,9.99,151.0,80.985
aktivno perilo kompleti,35.5,35.5,35.5,35.5,35.5,0.0
akumulatorska vrtna tehnika,299.99,171.39,360.49,50.4,689.63,189.10000000000002
akumulatorske baterije,22.715,19.335,40.235,8.77,85.99,20.9
akumulatorske kosilnice,517.85,517.85,517.85,517.85,517.85,0.0
akumulatorski sesalniki listja,107.37,107.37,107.37,107.37,107.37,0.0
akumulatorski vijacniki akumulatorski vrtalni vijacniki,106.99,58.9,192.63,29.77,390.99,133.73
akumulatorsko orodje,115.58,44.4375,262.46750000000003,26.9,1424.99,218.03000000000003
akvaristika,18.82,10.335,27.66,1.6,73.0,17.325
alarmne naprave varnostne kamere,101.995,27.5,299.125,6.95,485.57,271.625
alkotesterji,48.99,48.99,48.99,48.99,48.99,0.0
ampermetri,48.5,31.5,65.5,25.0,137.0,34.0
angleska liga,26.340000000000003,23.015,29.665000000000003,19.69,32.99,6.650000000000002
antiperspiranti deodoranti,9.15,6.675,16.9175,2.0,65.19,10.2425
aparati za pripravo jogurta,31.49,30.695,35.86,29.9,40.23,5.164999999999999
aparati za vezavo,8.5,8.5,8.5,8.5,8.5,0.0
armature bide,87.99,63.99,119.6,49.85,169.79,55.60999999999999
armature kadi,124.99,79.9,218.39249999999998,47.0,329.9,138.49249999999998
armature tus,129.76,17.98,226.51,3.87,639.9,208.53
armature umivalnik,95.045,72.285,129.99,22.87,737.99,57.70500000000001
aroma svetilke difuzorji,21.994999999999997,12.39,41.125,1.92,150.45,28.735
audio video,2.29,2.0,3.27,1.19,21.35,1.27
avto dodatki za prikolice,133.5,111.25,155.75,89.0,178.0,44.5
avto hi fi dodatki,25.9,21.945,28.9,17.99,31.9,6.954999999999998
avto kamere,131.98000000000002,64.71000000000001,138.71249999999998,23.95,189.9,74.00249999999997
avto ojacevalniki,78.995,25.814999999999998,131.8,16.29,140.2,105.98500000000001
avto oprema,65.0,21.0,205.0,2.5,459.0,184.0
avto preproge,40.0,36.75,43.75,36.0,46.0,7.0
avto zarnice,6.54,4.2275,14.6,1.0,142.19,10.372499999999999
avtomobili vlaki helikopterji,26.380000000000003,14.48,53.02,3.1,339.2,38.540000000000006
avtomobilske gume celoletne,77.345,57.36,159.395,37.06,507.52,102.03500000000001
avtomobilske gume letne,112.06,72.1075,143.70999999999998,39.52,297.71,71.60249999999998
avtomobilske gume zimske,106.845,78.17,149.60750000000002,35.45,495.17,71.43750000000001
avtoradiji,104.99,104.99,104.99,104.99,104.99,0.0
avtosedezi,223.96,121.465,356.12,13.4,952.09,234.655
avtozvocniki,57.19,44.49,83.775,14.25,89.9,39.285000000000004
balzam,2.69,2.0,17.6,1.0,73.9,15.600000000000001
balzami lase,3.4,2.9675000000000002,5.45,1.99,9.52,2.4825
balzami za po britju,44.9,13.450000000000001,50.25,3.43,55.3,36.8
barska oprema,19.095,11.675,89.45,9.0,202.0,77.775
barve tekstil,5.99,5.99,5.99,5.99,5.99,0.0
barve za lase,6.2,4.0075,11.725,2.32,24.99,7.717499999999999
barvice flomastri,7.45,4.365,9.3025,1.64,56.99,4.9375
baterije mobilne telefone,17.08,12.78,18.65,7.3,33.98,5.869999999999999
baterije polnilci,49.95,21.195,67.99000000000001,0.38,114.25,46.79500000000001
bazeni,399.99,57.7,634.7750000000001,8.72,2183.02,577.075
bazeni vrtne ribnike,92.5,85.405,99.595,78.31,106.69,14.189999999999998
