month,mean,median,count,seasonality_index
1,100.42608814062886,34.24,4039,99.59
2,105.40390954151178,34.97,3228,104.52
3,91.04135033557047,31.9,3725,90.28
4,108.94585676913015,36.825,3058,108.03
5,96.48450323803507,35.49,6331,95.68
6,103.10209544988025,35.99,5846,102.24
7,94.55662399241346,34.99,6327,93.76
8,102.28529653191053,34.9,4873,101.43
9,117.57664617851417,36.0,3742,116.59
10,113.43917983446201,37.64,2658,112.49
11,91.6957590170432,30.0,2523,90.93
12,85.17724327292697,29.99,3642,84.46
